real,predict,a,b,c,d
0.0,0.0,a5,b17,c10,d4
0.0,0.0,a5,b17,c10,d9
0.0,0.0,a5,b17,c10,d5
0.0,0.0,a5,b17,c10,d3
0.0,0.0,a5,b17,c10,d10
0.0,0.0,a5,b17,c10,d6
0.0,0.0,a5,b17,c10,d7
0.0,0.0,a5,b17,c10,d2
0.0,0.0,a5,b17,c10,d8
7.605881605920034,11.0,a5,b2,c5,d1
7.927590435812872,11.0,a5,b2,c5,d4
0.0,0.0,a5,b2,c5,d9
3.5480702084361537,3.0,a5,b2,c5,d5
11.453054248402273,11.0,a5,b2,c5,d3
5.338983618327779,5.0,a5,b2,c5,d10
2.9244536903260268,3.0,a5,b2,c5,d6
9.868673563504686,11.0,a5,b2,c5,d7
-0.0,3.0,a5,b2,c5,d2
11.979786672029189,11.0,a5,b2,c5,d8
3.4004658344528282,4.0,a5,b2,c6,d1
4.370235984661758,4.0,a5,b2,c6,d4
0.0,0.0,a5,b2,c6,d9
0.9946167823043393,1.0,a5,b2,c6,d5
3.7247191005845934,4.0,a5,b2,c6,d3
1.0934467691231506,1.0,a5,b2,c6,d10
1.006037689598244,1.0,a5,b2,c6,d6
3.79570895733064,4.0,a5,b2,c6,d7
-0.0,1.0,a5,b2,c6,d2
3.2376881612584905,4.0,a5,b2,c6,d8
45.45398285624652,45.0,a5,b2,c1,d1
40.795445224162066,45.0,a5,b2,c1,d4
0.0,0.0,a5,b2,c1,d9
315.767301943572,271.0,a5,b2,c1,d5
43.1519697759212,45.0,a5,b2,c1,d3
69.01661095661261,79.0,a5,b2,c1,d10
273.35886782131104,270.0,a5,b2,c1,d6
47.59737578345708,40.0,a5,b2,c1,d7
-0.0,272.0,a5,b2,c1,d2
31.74271508958487,38.0,a5,b2,c1,d8
2.3229823905357643,2.0,a5,b2,c3,d1
1.7321691558590224,2.0,a5,b2,c3,d4
0.0,0.0,a5,b2,c3,d9
1.731131354036305,2.0,a5,b2,c3,d5
1.9556833780520704,2.0,a5,b2,c3,d3
0.8519346775004702,1.0,a5,b2,c3,d10
2.256899025702257,2.0,a5,b2,c3,d6
2.3866533006223865,2.0,a5,b2,c3,d7
-0.0,2.0,a5,b2,c3,d2
1.545315723966906,2.0,a5,b2,c3,d8
1.84036140094468,2.0,a5,b2,c7,d1
1.9181920864357216,2.0,a5,b2,c7,d4
0.0,0.0,a5,b2,c7,d9
0.9574677074458632,1.0,a5,b2,c7,d5
1.0779599898051342,2.0,a5,b2,c7,d3
1.095530980874909,1.0,a5,b2,c7,d10
1.0187947300211695,1.0,a5,b2,c7,d6
2.034356855827232,2.0,a5,b2,c7,d7
-0.0,1.0,a5,b2,c7,d2
0.8587928044674901,1.0,a5,b2,c7,d8
0.7299580844428823,1.0,a5,b2,c8,d1
0.9712441846643012,1.0,a5,b2,c8,d4
0.0,0.0,a5,b2,c8,d9
1.0196470541326934,1.0,a5,b2,c8,d5
1.1844613220173204,1.0,a5,b2,c8,d3
0.8300404272311492,1.0,a5,b2,c8,d10
1.1611439882706736,1.0,a5,b2,c8,d6
1.0659970893869757,1.0,a5,b2,c8,d7
-0.0,1.0,a5,b2,c8,d2
1.0440201546229104,1.0,a5,b2,c8,d8
0.0,0.0,a5,b2,c9,d1
0.0,0.0,a5,b2,c9,d4
0.0,0.0,a5,b2,c9,d9
0.0,0.0,a5,b2,c9,d5
0.0,0.0,a5,b2,c9,d3
0.0,0.0,a5,b2,c9,d10
0.0,0.0,a5,b2,c9,d6
0.0,0.0,a5,b2,c9,d7
0.0,0.0,a5,b2,c9,d2
0.0,0.0,a5,b2,c9,d8
3.996571635098257,4.0,a5,b2,c4,d1
4.868008229316192,4.0,a5,b2,c4,d4
0.0,0.0,a5,b2,c4,d9
1.8744250888403928,2.0,a5,b2,c4,d5
3.374818711223563,4.0,a5,b2,c4,d3
1.0476884736773324,1.0,a5,b2,c4,d10
1.73826893108475,2.0,a5,b2,c4,d6
3.4929999959478293,3.0,a5,b2,c4,d7
-0.0,2.0,a5,b2,c4,d2
2.989510983528629,3.0,a5,b2,c4,d8
144.76229445337026,147.0,a5,b2,c2,d1
141.30838049134616,146.0,a5,b2,c2,d4
0.0,0.0,a5,b2,c2,d9
3.5689935593082613,3.0,a5,b2,c2,d5
132.26200761867727,147.0,a5,b2,c2,d3
3.045560540466811,3.0,a5,b2,c2,d10
3.699152221612664,3.0,a5,b2,c2,d6
139.6230046407823,147.0,a5,b2,c2,d7
-0.0,3.0,a5,b2,c2,d2
16.83474033703054,18.0,a5,b2,c2,d8
0.0,0.0,a5,b2,c10,d1
0.0,0.0,a5,b2,c10,d4
0.0,0.0,a5,b2,c10,d9
0.0,0.0,a5,b2,c10,d5
0.0,0.0,a5,b2,c10,d3
0.0,0.0,a5,b2,c10,d10
0.0,0.0,a5,b2,c10,d6
0.0,0.0,a5,b2,c10,d7
0.0,0.0,a5,b2,c10,d2
0.0,0.0,a5,b2,c10,d8
0.0,0.0,a5,b18,c5,d1
0.0,0.0,a5,b18,c5,d4
0.0,0.0,a5,b18,c5,d9
0.0,0.0,a5,b18,c5,d5
0.0,0.0,a5,b18,c5,d3
0.0,0.0,a5,b18,c5,d10
0.0,0.0,a5,b18,c5,d6
0.0,0.0,a5,b18,c5,d7
0.0,0.0,a5,b18,c5,d2
0.0,0.0,a5,b18,c5,d8
0.0,0.0,a5,b18,c6,d1
0.0,0.0,a5,b18,c6,d4
0.0,0.0,a5,b18,c6,d9
0.0,0.0,a5,b18,c6,d5
0.0,0.0,a5,b18,c6,d3
0.0,0.0,a5,b18,c6,d10
0.0,0.0,a5,b18,c6,d6
0.0,0.0,a5,b18,c6,d7
0.0,0.0,a5,b18,c6,d2
0.0,0.0,a5,b18,c6,d8
0.0,0.0,a5,b18,c1,d1
0.0,0.0,a5,b18,c1,d4
0.0,0.0,a5,b18,c1,d9
0.0,0.0,a5,b18,c1,d5
0.0,0.0,a5,b18,c1,d3
0.0,0.0,a5,b18,c1,d10
0.0,0.0,a5,b18,c1,d6
0.0,0.0,a5,b18,c1,d7
0.0,0.0,a5,b18,c1,d2
0.0,0.0,a5,b18,c1,d8
0.0,0.0,a5,b18,c3,d1
0.0,0.0,a5,b18,c3,d4
0.0,0.0,a5,b18,c3,d9
0.0,0.0,a5,b18,c3,d5
0.0,0.0,a5,b18,c3,d3
0.0,0.0,a5,b18,c3,d10
0.0,0.0,a5,b18,c3,d6
0.0,0.0,a5,b18,c3,d7
0.0,0.0,a5,b18,c3,d2
0.0,0.0,a5,b18,c3,d8
0.0,0.0,a5,b18,c7,d1
0.0,0.0,a5,b18,c7,d4
0.0,0.0,a5,b18,c7,d9
0.0,0.0,a5,b18,c7,d5
0.0,0.0,a5,b18,c7,d3
0.0,0.0,a5,b18,c7,d10
0.0,0.0,a5,b18,c7,d6
0.0,0.0,a5,b18,c7,d7
0.0,0.0,a5,b18,c7,d2
0.0,0.0,a5,b18,c7,d8
0.0,0.0,a5,b18,c8,d1
0.0,0.0,a5,b18,c8,d4
0.0,0.0,a5,b18,c8,d9
0.0,0.0,a5,b18,c8,d5
0.0,0.0,a5,b18,c8,d3
0.0,0.0,a5,b18,c8,d10
0.0,0.0,a5,b18,c8,d6
0.0,0.0,a5,b18,c8,d7
0.0,0.0,a5,b18,c8,d2
0.0,0.0,a5,b18,c8,d8
0.0,0.0,a5,b18,c9,d1
0.0,0.0,a5,b18,c9,d4
0.0,0.0,a5,b18,c9,d9
0.0,0.0,a5,b18,c9,d5
0.0,0.0,a5,b18,c9,d3
0.0,0.0,a5,b18,c9,d10
0.0,0.0,a5,b18,c9,d6
0.0,0.0,a5,b18,c9,d7
0.0,0.0,a5,b18,c9,d2
0.0,0.0,a5,b18,c9,d8
0.0,0.0,a5,b18,c4,d1
0.0,0.0,a5,b18,c4,d4
0.0,0.0,a5,b18,c4,d9
0.0,0.0,a5,b18,c4,d5
0.0,0.0,a5,b18,c4,d3
0.0,0.0,a5,b18,c4,d10
0.0,0.0,a5,b18,c4,d6
0.0,0.0,a5,b18,c4,d7
0.0,0.0,a5,b18,c4,d2
0.0,0.0,a5,b18,c4,d8
1.5225950599446216,2.0,a5,b18,c2,d1
2.010805660537355,2.0,a5,b18,c2,d4
0.0,0.0,a5,b18,c2,d9
0.998809997471647,1.0,a5,b18,c2,d5
1.7017834824432767,2.0,a5,b18,c2,d3
0.912091185474866,1.0,a5,b18,c2,d10
0.8849806267306914,1.0,a5,b18,c2,d6
1.229238136776836,1.0,a5,b18,c2,d7
-0.0,1.0,a5,b18,c2,d2
1.0558545155636645,1.0,a5,b18,c2,d8
0.0,0.0,a5,b18,c10,d1
0.0,0.0,a5,b18,c10,d4
0.0,0.0,a5,b18,c10,d9
0.0,0.0,a5,b18,c10,d5
0.0,0.0,a5,b18,c10,d3
0.0,0.0,a5,b18,c10,d10
0.0,0.0,a5,b18,c10,d6
0.0,0.0,a5,b18,c10,d7
0.0,0.0,a5,b18,c10,d2
0.0,0.0,a5,b18,c10,d8
1.0397590782068369,1.0,a5,b19,c5,d1
1.0024691739390683,1.0,a5,b19,c5,d4
0.0,0.0,a5,b19,c5,d9
27.913837000844428,24.0,a5,b19,c5,d5
0.9262617617258964,1.0,a5,b19,c5,d3
10.974112872733423,11.0,a5,b19,c5,d10
23.257009756925683,24.0,a5,b19,c5,d6
0.9293292849024164,1.0,a5,b19,c5,d7
-0.0,24.0,a5,b19,c5,d2
0.8966629304020719,1.0,a5,b19,c5,d8
1.0973899611364475,1.0,a5,b19,c6,d1
0.9441212970766129,1.0,a5,b19,c6,d4
0.0,0.0,a5,b19,c6,d9
1.1604906810951745,1.0,a5,b19,c6,d5
1.1633034084310945,1.0,a5,b19,c6,d3
0.9233598840834868,1.0,a5,b19,c6,d10
0.8656493595998213,1.0,a5,b19,c6,d6
1.0623980693592203,1.0,a5,b19,c6,d7
-0.0,1.0,a5,b19,c6,d2
0.9588448566766986,1.0,a5,b19,c6,d8
133.48645027867974,140.0,a5,b19,c1,d1
90.8235095706822,139.0,a5,b19,c1,d4
0.0,0.0,a5,b19,c1,d9
180.8407846067693,210.0,a5,b19,c1,d5
122.39162436185335,138.0,a5,b19,c1,d3
56.33368781005647,53.0,a5,b19,c1,d10
233.00367831565654,208.0,a5,b19,c1,d6
120.94205758139566,112.0,a5,b19,c1,d7
-0.0,209.0,a5,b19,c1,d2
78.48185105025703,84.0,a5,b19,c1,d8
2.4780667254097297,2.0,a5,b19,c3,d1
1.7153544641267748,2.0,a5,b19,c3,d4
0.0,0.0,a5,b19,c3,d9
1.5840050164048864,2.0,a5,b19,c3,d5
2.076388078680912,2.0,a5,b19,c3,d3
0.6484658190108343,1.0,a5,b19,c3,d10
1.7804896515827668,2.0,a5,b19,c3,d6
0.9340646976593174,1.0,a5,b19,c3,d7
-0.0,2.0,a5,b19,c3,d2
0.8778766125616246,1.0,a5,b19,c3,d8
10.168455156868387,13.0,a5,b19,c7,d1
11.591265527222081,13.0,a5,b19,c7,d4
0.0,0.0,a5,b19,c7,d9
1.0250388237578874,1.0,a5,b19,c7,d5
10.384820835391539,13.0,a5,b19,c7,d3
0.9777818679385891,1.0,a5,b19,c7,d10
1.0073522636284504,1.0,a5,b19,c7,d6
14.79334893997656,13.0,a5,b19,c7,d7
-0.0,1.0,a5,b19,c7,d2
13.712898182233713,13.0,a5,b19,c7,d8
6.916966527150423,7.0,a5,b19,c8,d1
9.359389691462477,7.0,a5,b19,c8,d4
0.0,0.0,a5,b19,c8,d9
4.816460196361653,5.0,a5,b19,c8,d5
6.815742045272768,7.0,a5,b19,c8,d3
2.016525100585919,2.0,a5,b19,c8,d10
4.875193183456949,5.0,a5,b19,c8,d6
5.8042930430695305,6.0,a5,b19,c8,d7
-0.0,5.0,a5,b19,c8,d2
4.0447631739289545,6.0,a5,b19,c8,d8
1.3035951996459985,1.0,a5,b19,c9,d1
1.1848853887632012,1.0,a5,b19,c9,d4
0.0,0.0,a5,b19,c9,d9
0.804540798393307,1.0,a5,b19,c9,d5
0.7355571428010073,1.0,a5,b19,c9,d3
1.0151257002414822,1.0,a5,b19,c9,d10
1.1155287836793095,1.0,a5,b19,c9,d6
0.9658999705034584,1.0,a5,b19,c9,d7
-0.0,1.0,a5,b19,c9,d2
1.2358456290308992,1.0,a5,b19,c9,d8
34.91720136978801,45.0,a5,b19,c4,d1
49.72200626429506,45.0,a5,b19,c4,d4
0.0,0.0,a5,b19,c4,d9
15.155447655731615,12.0,a5,b19,c4,d5
44.25268831893083,46.0,a5,b19,c4,d3
5.72836113867904,5.0,a5,b19,c4,d10
10.512229648865002,12.0,a5,b19,c4,d6
31.803672480227913,38.0,a5,b19,c4,d7
-0.0,12.0,a5,b19,c4,d2
26.582136593100532,36.0,a5,b19,c4,d8
315.31252125258516,299.0,a5,b19,c2,d1
290.61219233415534,299.0,a5,b19,c2,d4
0.0,0.0,a5,b19,c2,d9
65.1140554655811,76.0,a5,b19,c2,d5
306.28131255780005,298.0,a5,b19,c2,d3
59.80960529556898,62.0,a5,b19,c2,d10
74.21004151370025,76.0,a5,b19,c2,d6
305.0714062368104,304.0,a5,b19,c2,d7
-0.0,76.0,a5,b19,c2,d2
323.28143716050187,233.0,a5,b19,c2,d8
0.0,0.0,a5,b19,c10,d1
0.0,0.0,a5,b19,c10,d4
0.0,0.0,a5,b19,c10,d9
0.0,0.0,a5,b19,c10,d5
0.0,0.0,a5,b19,c10,d3
0.0,0.0,a5,b19,c10,d10
0.0,0.0,a5,b19,c10,d6
0.0,0.0,a5,b19,c10,d7
0.0,0.0,a5,b19,c10,d2
0.0,0.0,a5,b19,c10,d8
1.2297380093701105,1.0,a5,b6,c5,d1
0.8913126628386967,1.0,a5,b6,c5,d4
0.0,0.0,a5,b6,c5,d9
0.7282549893893111,1.0,a5,b6,c5,d5
1.0440804288923626,1.0,a5,b6,c5,d3
1.1415895924875916,1.0,a5,b6,c5,d10
0.9703549958271448,1.0,a5,b6,c5,d6
0.8016778577855209,1.0,a5,b6,c5,d7
-0.0,1.0,a5,b6,c5,d2
1.2007284090021808,1.0,a5,b6,c5,d8
1.9890776243388149,2.0,a5,b6,c6,d1
1.6771254637918005,2.0,a5,b6,c6,d4
0.0,0.0,a5,b6,c6,d9
2.0597749101376177,2.0,a5,b6,c6,d5
1.8284137371375264,2.0,a5,b6,c6,d3
3.1710214734668893,3.0,a5,b6,c6,d10
2.033867757403058,2.0,a5,b6,c6,d6
2.112264643006445,2.0,a5,b6,c6,d7
-0.0,2.0,a5,b6,c6,d2
1.8631148696238955,2.0,a5,b6,c6,d8
7.947018336146603,7.0,a5,b6,c1,d1
7.518581210323156,7.0,a5,b6,c1,d4
0.0,0.0,a5,b6,c1,d9
113.51738684187931,119.0,a5,b6,c1,d5
6.280295581866787,7.0,a5,b6,c1,d3
57.57783806981114,48.0,a5,b6,c1,d10
99.09044596716612,121.0,a5,b6,c1,d6
5.46491837454055,6.0,a5,b6,c1,d7
-0.0,121.0,a5,b6,c1,d2
5.115856544654033,5.0,a5,b6,c1,d8
1.038172709294034,1.0,a5,b6,c3,d1
0.8773157783296109,1.0,a5,b6,c3,d4
0.0,0.0,a5,b6,c3,d9
0.7856154052806639,1.0,a5,b6,c3,d5
0.8846687008159729,1.0,a5,b6,c3,d3
0.9888264157928868,1.0,a5,b6,c3,d10
1.1709381198399345,1.0,a5,b6,c3,d6
1.5197187959422078,2.0,a5,b6,c3,d7
-0.0,1.0,a5,b6,c3,d2
2.453133422592681,2.0,a5,b6,c3,d8
2.029114901038551,2.0,a5,b6,c7,d1
1.5308319730414957,2.0,a5,b6,c7,d4
0.0,0.0,a5,b6,c7,d9
0.9148023723904946,1.0,a5,b6,c7,d5
2.2000970961651083,2.0,a5,b6,c7,d3
1.0573860700850586,1.0,a5,b6,c7,d10
1.043060447811823,1.0,a5,b6,c7,d6
1.7186998919086238,3.0,a5,b6,c7,d7
-0.0,1.0,a5,b6,c7,d2
3.3775878681906093,3.0,a5,b6,c7,d8
3.0809076443552303,3.0,a5,b6,c8,d1
3.15052854740835,3.0,a5,b6,c8,d4
0.0,0.0,a5,b6,c8,d9
0.6901305433849678,1.0,a5,b6,c8,d5
2.5314385315509944,3.0,a5,b6,c8,d3
1.3666817422075104,1.0,a5,b6,c8,d10
0.9201939287632801,1.0,a5,b6,c8,d6
3.3521378784843314,3.0,a5,b6,c8,d7
-0.0,1.0,a5,b6,c8,d2
3.3082309847567983,3.0,a5,b6,c8,d8
0.0,0.0,a5,b6,c9,d1
0.0,0.0,a5,b6,c9,d4
0.0,0.0,a5,b6,c9,d9
0.0,0.0,a5,b6,c9,d5
0.0,0.0,a5,b6,c9,d3
0.0,0.0,a5,b6,c9,d10
0.0,0.0,a5,b6,c9,d6
0.0,0.0,a5,b6,c9,d7
0.0,0.0,a5,b6,c9,d2
0.0,0.0,a5,b6,c9,d8
3.548323553219755,3.0,a5,b6,c4,d1
3.8592006994626002,3.0,a5,b6,c4,d4
0.0,0.0,a5,b6,c4,d9
2.3854189150825684,2.0,a5,b6,c4,d5
2.9990542270818765,3.0,a5,b6,c4,d3
1.0847259520904582,1.0,a5,b6,c4,d10
1.570469632387084,2.0,a5,b6,c4,d6
1.699249931685549,2.0,a5,b6,c4,d7
-0.0,2.0,a5,b6,c4,d2
3.2335487577460693,3.0,a5,b6,c4,d8
1.1202199513038225,1.0,a5,b6,c2,d1
0.9908041769389024,1.0,a5,b6,c2,d4
0.0,0.0,a5,b6,c2,d9
0.9703815203290266,1.0,a5,b6,c2,d5
1.0410340349989562,1.0,a5,b6,c2,d3
1.3170932982593224,1.0,a5,b6,c2,d10
0.8746602114141844,1.0,a5,b6,c2,d6
1.0834989286181649,1.0,a5,b6,c2,d7
-0.0,1.0,a5,b6,c2,d2
0.977047234566742,1.0,a5,b6,c2,d8
0.0,0.0,a5,b6,c10,d1
0.0,0.0,a5,b6,c10,d4
0.0,0.0,a5,b6,c10,d9
0.0,0.0,a5,b6,c10,d5
0.0,0.0,a5,b6,c10,d3
0.0,0.0,a5,b6,c10,d10
0.0,0.0,a5,b6,c10,d6
0.0,0.0,a5,b6,c10,d7
0.0,0.0,a5,b6,c10,d2
0.0,0.0,a5,b6,c10,d8
0.9028418266103936,1.0,a5,b20,c5,d1
0.7188679200145729,1.0,a5,b20,c5,d4
0.0,0.0,a5,b20,c5,d9
4.045993358602899,4.0,a5,b20,c5,d5
1.0984114110413292,1.0,a5,b20,c5,d3
1.0597022332860329,1.0,a5,b20,c5,d10
4.831219667399738,4.0,a5,b20,c5,d6
1.1945678674693911,1.0,a5,b20,c5,d7
-0.0,4.0,a5,b20,c5,d2
1.2303984005059012,1.0,a5,b20,c5,d8
1.8614369350517352,2.0,a5,b20,c6,d1
2.079579354257214,2.0,a5,b20,c6,d4
0.0,0.0,a5,b20,c6,d9
1.0416929413768283,1.0,a5,b20,c6,d5
1.861493318162628,2.0,a5,b20,c6,d3
1.2215099298545635,1.0,a5,b20,c6,d10
1.0391800145101202,1.0,a5,b20,c6,d6
1.7405525917013251,2.0,a5,b20,c6,d7
-0.0,1.0,a5,b20,c6,d2
1.7997893585306504,2.0,a5,b20,c6,d8
159.92575761190318,147.0,a5,b20,c1,d1
176.1429759776237,148.0,a5,b20,c1,d4
0.0,0.0,a5,b20,c1,d9
227.35697746725486,205.0,a5,b20,c1,d5
129.7442987791616,148.0,a5,b20,c1,d3
67.50709774462389,58.0,a5,b20,c1,d10
188.27400840995958,205.0,a5,b20,c1,d6
162.71037435861209,141.0,a5,b20,c1,d7
-0.0,204.0,a5,b20,c1,d2
103.1139821231274,124.0,a5,b20,c1,d8
1.1454767486457935,1.0,a5,b20,c3,d1
1.0025391444277052,1.0,a5,b20,c3,d4
0.0,0.0,a5,b20,c3,d9
2.283564489852384,2.0,a5,b20,c3,d5
0.984870111669514,1.0,a5,b20,c3,d3
1.3299477853706838,1.0,a5,b20,c3,d10
1.902330605070229,2.0,a5,b20,c3,d6
0.99919993322233,1.0,a5,b20,c3,d7
-0.0,2.0,a5,b20,c3,d2
0.8149028816353691,1.0,a5,b20,c3,d8
1.9064276019598108,2.0,a5,b20,c7,d1
2.44326779363762,2.0,a5,b20,c7,d4
0.0,0.0,a5,b20,c7,d9
1.0242864728611143,1.0,a5,b20,c7,d5
2.3023625304498814,2.0,a5,b20,c7,d3
1.00381730628169,1.0,a5,b20,c7,d10
0.9905976677910444,1.0,a5,b20,c7,d6
2.7278718580597503,2.0,a5,b20,c7,d7
-0.0,1.0,a5,b20,c7,d2
2.2688965857738617,2.0,a5,b20,c7,d8
0.7285035664973496,1.0,a5,b20,c8,d1
0.8970838827494296,1.0,a5,b20,c8,d4
0.0,0.0,a5,b20,c8,d9
0.9310947567154018,1.0,a5,b20,c8,d5
1.0870078311644942,1.0,a5,b20,c8,d3
1.047895643400198,1.0,a5,b20,c8,d10
1.1117304479516636,1.0,a5,b20,c8,d6
0.9854766827939162,1.0,a5,b20,c8,d7
-0.0,1.0,a5,b20,c8,d2
0.97640405516464,1.0,a5,b20,c8,d8
0.0,0.0,a5,b20,c9,d1
0.0,0.0,a5,b20,c9,d4
0.0,0.0,a5,b20,c9,d9
0.0,0.0,a5,b20,c9,d5
0.0,0.0,a5,b20,c9,d3
0.0,0.0,a5,b20,c9,d10
0.0,0.0,a5,b20,c9,d6
0.0,0.0,a5,b20,c9,d7
0.0,0.0,a5,b20,c9,d2
0.0,0.0,a5,b20,c9,d8
1.8400927667269416,2.0,a5,b20,c4,d1
2.2478678351728263,2.0,a5,b20,c4,d4
0.0,0.0,a5,b20,c4,d9
1.914671507188232,3.0,a5,b20,c4,d5
2.363156935017304,2.0,a5,b20,c4,d3
1.1314966714149723,1.0,a5,b20,c4,d10
2.882861034705786,3.0,a5,b20,c4,d6
1.686635351882415,2.0,a5,b20,c4,d7
-0.0,3.0,a5,b20,c4,d2
1.7677717592409623,2.0,a5,b20,c4,d8
2.1866918118779366,3.0,a5,b20,c2,d1
2.5163148946710834,3.0,a5,b20,c2,d4
0.0,0.0,a5,b20,c2,d9
22.740217486142978,22.0,a5,b20,c2,d5
2.9320182529797787,3.0,a5,b20,c2,d3
15.110599916565333,17.0,a5,b20,c2,d10
21.439261165502426,22.0,a5,b20,c2,d6
1.7891231241855765,2.0,a5,b20,c2,d7
-0.0,22.0,a5,b20,c2,d2
1.3085116969919983,2.0,a5,b20,c2,d8
0.0,0.0,a5,b20,c10,d1
0.0,0.0,a5,b20,c10,d4
0.0,0.0,a5,b20,c10,d9
0.0,0.0,a5,b20,c10,d5
0.0,0.0,a5,b20,c10,d3
0.0,0.0,a5,b20,c10,d10
0.0,0.0,a5,b20,c10,d6
0.0,0.0,a5,b20,c10,d7
0.0,0.0,a5,b20,c10,d2
0.0,0.0,a5,b20,c10,d8
1.360126935433799,1.0,a5,b21,c5,d1
1.0209289337381031,1.0,a5,b21,c5,d4
0.0,0.0,a5,b21,c5,d9
0.0,0.0,a5,b21,c5,d5
1.4245165073253991,1.0,a5,b21,c5,d3
0.0,0.0,a5,b21,c5,d10
0.0,0.0,a5,b21,c5,d6
1.1418444564574202,1.0,a5,b21,c5,d7
0.0,0.0,a5,b21,c5,d2
0.0,0.0,a5,b21,c5,d8
1.4467017362696826,1.0,a5,b21,c6,d1
1.0657894428377277,1.0,a5,b21,c6,d4
0.0,0.0,a5,b21,c6,d9
1.9019564287835669,2.0,a5,b21,c6,d5
0.7632857998572975,1.0,a5,b21,c6,d3
0.9482891868748596,1.0,a5,b21,c6,d10
1.6136150822978823,2.0,a5,b21,c6,d6
1.2092817904279471,1.0,a5,b21,c6,d7
-0.0,2.0,a5,b21,c6,d2
1.073822912063022,1.0,a5,b21,c6,d8
26.97067631519523,25.0,a5,b21,c1,d1
24.604466387802788,25.0,a5,b21,c1,d4
0.0,0.0,a5,b21,c1,d9
60.55677850802884,65.0,a5,b21,c1,d5
29.324006220448705,25.0,a5,b21,c1,d3
10.50410587605924,10.0,a5,b21,c1,d10
